dataset,model,method,method_display,video_idx,deletion_auc,insertion_auc,avg_drop,pointing_game,iou50,iou_value
EtriActivity3D,TANet,3D-Kernel-SHAP-NEW,3D-Kernel-SHAP,0,0.03227175410326192,0.9799461224250122,81.43327595373711,1.0,0.0,0.07371207209468236
EtriActivity3D,TANet,3D-Kernel-SHAP-NEW,3D-Kernel-SHAP,1,0.028883644109864947,0.9950080650011508,16.392033538103362,1.0,0.0,0.0709773638854181
EtriActivity3D,TANet,3D-Kernel-SHAP-NEW,3D-Kernel-SHAP,2,0.02700195483761201,0.9767993458931216,63.213952533737604,1.0,1.0,0.5797220473231314
EtriActivity3D,TANet,3D-Kernel-SHAP-NEW,3D-Kernel-SHAP,3,0.013604363781650104,0.6838793003098644,44.272688963771934,1.0,1.0,0.3907666927504124
EtriActivity3D,TANet,3D-Kernel-SHAP-NEW,3D-Kernel-SHAP,4,0.13055854244236959,0.9241362539031933,27.182446062282267,0.0,0.0,0.05787938592661159
EtriActivity3D,TANet,3D-Kernel-SHAP-NEW,3D-Kernel-SHAP,5,0.07626484542603346,0.8022469005331693,25.736111493459987,0.0,0.0,0.06860206490947317
EtriActivity3D,TANet,3D-Kernel-SHAP-NEW,3D-Kernel-SHAP,6,0.038913552344784816,0.8309564971115438,51.49018889220608,0.0,0.0,0.2381152871451749
EtriActivity3D,TANet,3D-Kernel-SHAP-NEW,3D-Kernel-SHAP,7,0.03032814401914225,0.9726328339843935,17.877567419107653,0.0,0.0,0.1626054178602132
EtriActivity3D,TANet,3D-Kernel-SHAP-NEW,3D-Kernel-SHAP,8,0.058760588464059335,0.9532504043578454,37.51319646835327,1.0,0.0,0.06417162042352804
EtriActivity3D,TANet,3D-Kernel-SHAP-NEW,3D-Kernel-SHAP,9,0.01937892758959508,0.7640142831270792,21.81454539292149,1.0,0.0,0.42492584229866737
EtriActivity3D,TANet,3D-Kernel-SHAP-NEW,3D-Kernel-SHAP,10,0.38018410409935327,0.9571392703065831,0.6998403191827205,1.0,0.0,0.15488548182984
EtriActivity3D,TANet,3D-Kernel-SHAP-NEW,3D-Kernel-SHAP,11,0.22413162259686975,0.7882575253816769,63.229157078273246,0.0,0.0,0.18414972086898213
EtriActivity3D,TANet,3D-Kernel-SHAP-NEW,3D-Kernel-SHAP,12,0.08447057446793652,0.995162922819187,0.0,1.0,0.0,0.19851052235513922
EtriActivity3D,TANet,3D-Kernel-SHAP-NEW,3D-Kernel-SHAP,13,0.3158709697019447,0.9712028914329525,0.0033915042877197266,1.0,0.0,0.23584457732001796
EtriActivity3D,TANet,3D-Kernel-SHAP-NEW,3D-Kernel-SHAP,14,0.1140722435548792,0.8922287711327093,3.57627911284913e-05,1.0,0.0,0.3630085560119011
EtriActivity3D,TANet,3D-Kernel-SHAP-NEW,3D-Kernel-SHAP,15,0.1733563131249655,0.973911690806901,0.0,0.0,0.0,0.3719901087435749
EtriActivity3D,TANet,3D-Kernel-SHAP-NEW,3D-Kernel-SHAP,16,0.0853402366275037,0.9806669660832115,0.0,1.0,1.0,0.6216483185516397
EtriActivity3D,TANet,3D-Kernel-SHAP-NEW,3D-Kernel-SHAP,17,0.019167168348971697,0.8206334367531192,23.84081897525374,1.0,0.0,0.06451295675669769
EtriActivity3D,TANet,3D-Kernel-SHAP-NEW,3D-Kernel-SHAP,18,0.24172476599954748,0.6338760583094466,58.437562928849424,1.0,0.0,0.4064359342575412
EtriActivity3D,TANet,3D-Kernel-SHAP-NEW,3D-Kernel-SHAP,19,0.15073049444566244,0.9743407526236391,0.0,1.0,0.0,0.3841663463538236
EtriActivity3D,TANet,3D-Kernel-SHAP-NEW,3D-Kernel-SHAP,20,0.06886456988620289,0.9471628126323097,7.003622089088239,1.0,0.0,0.10676542385114249
EtriActivity3D,TANet,3D-Kernel-SHAP-NEW,3D-Kernel-SHAP,21,0.1077906873689834,0.9805337523788996,0.03409720206228462,1.0,1.0,0.3175831133696787
EtriActivity3D,TANet,3D-Kernel-SHAP-NEW,3D-Kernel-SHAP,22,0.3977754119369926,0.4506917847562991,0.0,1.0,0.0,0.4215303932333601
EtriActivity3D,TANet,3D-Kernel-SHAP-NEW,3D-Kernel-SHAP,23,0.5739778429170799,0.7250041431587952,3.489475759804148,0.0,0.0,0.23700148679377295
EtriActivity3D,TANet,3D-Kernel-SHAP-NEW,3D-Kernel-SHAP,24,0.21220950010975334,0.9557710951872083,1.5335255139182884,1.0,1.0,0.25356198027883653
EtriActivity3D,TANet,3D-Kernel-SHAP-NEW,3D-Kernel-SHAP,25,0.25337535996949423,0.9594202074415051,0.00010132790215777768,1.0,0.0,0.5170552586296955
EtriActivity3D,TANet,3D-Kernel-SHAP-NEW,3D-Kernel-SHAP,26,0.09456811483691299,0.872659939296445,53.43018173679205,0.0,0.0,0.027871011149557864
EtriActivity3D,TANet,3D-Kernel-SHAP-NEW,3D-Kernel-SHAP,27,0.0652040548284985,0.7802224475401702,0.0,1.0,1.0,0.49406825948565775
EtriActivity3D,TANet,3D-Kernel-SHAP-NEW,3D-Kernel-SHAP,28,0.2751966229205372,0.9472194239237781,42.57987141609192,0.0,0.0,0.034567993508157514
EtriActivity3D,TANet,3D-Kernel-SHAP-NEW,3D-Kernel-SHAP,29,0.05004606925041834,0.9717983871378285,25.25451195178869,1.0,0.0,0.7050484755708636
EtriActivity3D,TANet,3D-LIME-NEW,3D-LIME,0,0.020784352085914642,0.9767144463543841,89.39906992601847,1.0,0.0,0.0971433086309586
EtriActivity3D,TANet,3D-LIME-NEW,3D-LIME,1,0.023133705080731513,0.9951200679510006,19.700762637663033,1.0,0.0,0.12535693599032588
EtriActivity3D,TANet,3D-LIME-NEW,3D-LIME,2,0.027595267771244596,0.9771216110947614,60.87279988378567,1.0,1.0,0.6302386646669099
EtriActivity3D,TANet,3D-LIME-NEW,3D-LIME,3,0.009919720565337565,0.7027176749321309,46.15506935919004,1.0,0.0,0.4049383095589441
EtriActivity3D,TANet,3D-LIME-NEW,3D-LIME,4,0.15632230986808263,0.9231730738245528,90.60775620138054,0.0,0.0,0.06199469047906359
EtriActivity3D,TANet,3D-LIME-NEW,3D-LIME,5,0.07892542688094428,0.8456069347894146,0.0,0.0,0.0,0.08799782978123334
EtriActivity3D,TANet,3D-LIME-NEW,3D-LIME,6,0.03887705885484144,0.8220521374596546,43.47155196268548,1.0,0.0,0.240828074570066
EtriActivity3D,TANet,3D-LIME-NEW,3D-LIME,7,0.02855961107457208,0.9710569335053476,22.449730550085555,0.0,0.0,0.1727588933712295
EtriActivity3D,TANet,3D-LIME-NEW,3D-LIME,8,0.05050698574380054,0.9547833761524479,28.5161554813385,1.0,0.0,0.10321558890310277
EtriActivity3D,TANet,3D-LIME-NEW,3D-LIME,9,0.01577099231227011,0.8360596439710675,33.41766727764056,1.0,0.0,0.45220336001407335
EtriActivity3D,TANet,3D-LIME-NEW,3D-LIME,10,0.2780162452199831,0.9685001902667507,2.079124752315819,1.0,0.0,0.3323773551971917
EtriActivity3D,TANet,3D-LIME-NEW,3D-LIME,11,0.38656291594068076,0.9632220723132877,0.2032103491216515,1.0,0.0,0.4334914133146944
EtriActivity3D,TANet,3D-LIME-NEW,3D-LIME,12,0.1009333465385712,0.9953704329065415,0.0,1.0,0.0,0.3525400976504148
EtriActivity3D,TANet,3D-LIME-NEW,3D-LIME,13,0.2864304954176148,0.9706542233158177,1.1053085327148438,1.0,0.0,0.18447370622720938
EtriActivity3D,TANet,3D-LIME-NEW,3D-LIME,14,0.07651864571432815,0.954139662748865,0.00040531163278956803,1.0,0.0,0.47056787542036227
EtriActivity3D,TANet,3D-LIME-NEW,3D-LIME,15,0.13380481702939998,0.9330563870372158,0.0,0.0,0.0,0.35728714437307196
EtriActivity3D,TANet,3D-LIME-NEW,3D-LIME,16,0.0755401335638969,0.9744707736502694,0.0,1.0,1.0,0.7982138345778498
EtriActivity3D,TANet,3D-LIME-NEW,3D-LIME,17,0.03314431621668447,0.8163340292849567,11.892722459305677,1.0,0.0,0.08605168999008551
EtriActivity3D,TANet,3D-LIME-NEW,3D-LIME,18,0.1403640023464721,0.7160608946095925,0.0,1.0,1.0,0.5412283671092774
EtriActivity3D,TANet,3D-LIME-NEW,3D-LIME,19,0.08746849845472679,0.970951627884163,0.009239291020917218,1.0,0.0,0.1703844675124952
EtriActivity3D,TANet,3D-LIME-NEW,3D-LIME,20,0.05664565554370284,0.9492436311382535,2.827491568530149,1.0,0.0,0.3297967078740987
EtriActivity3D,TANet,3D-LIME-NEW,3D-LIME,21,0.12850804475275127,0.9785058367808537,0.08357391134846685,1.0,0.0,0.3158628042691643
EtriActivity3D,TANet,3D-LIME-NEW,3D-LIME,22,0.4162324154901342,0.28885658609878867,0.0,1.0,0.0,0.1928013131858248
EtriActivity3D,TANet,3D-LIME-NEW,3D-LIME,23,0.21117534718888603,0.8823671995636881,0.0,1.0,0.0,0.20914071510957324
EtriActivity3D,TANet,3D-LIME-NEW,3D-LIME,24,0.05376603572998939,0.949515616352953,0.0,1.0,0.0,0.40304407517871516
EtriActivity3D,TANet,3D-LIME-NEW,3D-LIME,25,0.35181775101267043,0.9342154110855414,1.7881394498431356e-05,1.0,0.0,0.25371011149557865
EtriActivity3D,TANet,3D-LIME-NEW,3D-LIME,26,0.06462740416776361,0.9493120975937158,2.2853374032551628,0.0,0.0,0.047694186217968365
EtriActivity3D,TANet,3D-LIME-NEW,3D-LIME,27,0.04738392342815686,0.9102999610737555,0.0,1.0,1.0,0.8497061994776726
EtriActivity3D,TANet,3D-LIME-NEW,3D-LIME,28,0.1561975619506825,0.9615866232000864,0.04855990409851074,0.0,0.0,0.02318726311777494
EtriActivity3D,TANet,3D-LIME-NEW,3D-LIME,29,0.06463521474265341,0.9659903506956905,35.719024816670384,1.0,1.0,0.441040579713891
EtriActivity3D,TANet,3D-RISE-NEW,3D-RISE,0,0.04977017268683593,0.9286951539363909,0.0342370222373751,1.0,0.0,0.40063296953756683
EtriActivity3D,TANet,3D-RISE-NEW,3D-RISE,1,0.10090313641548612,0.9840157444899453,0.004106964428144544,1.0,0.0,0.38064169667852726
EtriActivity3D,TANet,3D-RISE-NEW,3D-RISE,2,0.02001679229762198,0.9010168050008754,1.443664417433062,1.0,0.0,0.34994655175848033
EtriActivity3D,TANet,3D-RISE-NEW,3D-RISE,3,0.024420367665298363,0.6082568417012003,30.95309468424175,1.0,0.0,0.29686602690788977
EtriActivity3D,TANet,3D-RISE-NEW,3D-RISE,4,0.03602032347223123,0.7244399521611244,0.0,0.0,0.0,0.010510734658090996
EtriActivity3D,TANet,3D-RISE-NEW,3D-RISE,5,0.08390696567157563,0.6355604503485748,0.0,0.0,0.0,0.015132064590542098
EtriActivity3D,TANet,3D-RISE-NEW,3D-RISE,6,0.024142699389459673,0.7928256558400849,3.9436412549005055,1.0,0.0,0.17907510047755135
EtriActivity3D,TANet,3D-RISE-NEW,3D-RISE,7,0.026682735195379077,0.9512657590533331,0.10403648817689959,0.0,0.0,0.12086555704539569
EtriActivity3D,TANet,3D-RISE-NEW,3D-RISE,8,0.056689681532501084,0.8535529362297456,0.05647540092468262,1.0,0.0,0.11906188135590876
EtriActivity3D,TANet,3D-RISE-NEW,3D-RISE,9,0.031638015721279764,0.8042534287707462,25.663909572994346,1.0,0.0,0.26551247119536714
EtriActivity3D,TANet,3D-RISE-NEW,3D-RISE,10,0.3808156939464194,0.9240663190359356,0.0,0.0,0.0,0.21481351299975252
EtriActivity3D,TANet,3D-RISE-NEW,3D-RISE,11,0.6488858047246715,0.7993148260831422,3.3034469568883575,1.0,0.0,0.23933494961251287
EtriActivity3D,TANet,3D-RISE-NEW,3D-RISE,12,0.034400634117335856,0.9882658436255383,0.0,1.0,0.0,0.2884311443052252
EtriActivity3D,TANet,3D-RISE-NEW,3D-RISE,13,0.21772220204429377,0.9346795121676851,0.0002384185791015625,1.0,0.0,0.17587140025173678
EtriActivity3D,TANet,3D-RISE-NEW,3D-RISE,14,0.10257124250367794,0.917022110573398,0.0,1.0,0.0,0.08485302766377845
EtriActivity3D,TANet,3D-RISE-NEW,3D-RISE,15,0.4601688014309702,0.9316260923010012,0.0,0.0,0.0,0.11164750813799311
EtriActivity3D,TANet,3D-RISE-NEW,3D-RISE,16,0.015582116410165636,0.9408011835488282,0.0,1.0,0.0,0.39574328700796224
EtriActivity3D,TANet,3D-RISE-NEW,3D-RISE,17,0.039462031659077745,0.7928776799837702,0.0,1.0,0.0,0.3075033715928935
EtriActivity3D,TANet,3D-RISE-NEW,3D-RISE,18,0.31524202229346976,0.49315653755380606,1.1746718559229208,1.0,0.0,0.3529633655040089
EtriActivity3D,TANet,3D-RISE-NEW,3D-RISE,19,0.1034532138381632,0.9475042009066967,0.0007868299450071438,0.0,0.0,0.17415788842844485
EtriActivity3D,TANet,3D-RISE-NEW,3D-RISE,20,0.10390654417980462,0.7858466970922846,0.0,1.0,0.0,0.21789839365776895
EtriActivity3D,TANet,3D-RISE-NEW,3D-RISE,21,0.11582222798628852,0.9591751583008281,0.0015081454758318197,1.0,0.0,0.27414289651545304
EtriActivity3D,TANet,3D-RISE-NEW,3D-RISE,22,0.07448107176327774,0.12276678616705433,0.0,1.0,0.0,0.23782165376345488
EtriActivity3D,TANet,3D-RISE-NEW,3D-RISE,23,0.1208270793135193,0.5213120563462367,0.0,0.0,0.0,0.20968548622574798
EtriActivity3D,TANet,3D-RISE-NEW,3D-RISE,24,0.16281838038902297,0.9335069528596395,1.4215453654988648,1.0,0.0,0.17338398177793096
EtriActivity3D,TANet,3D-RISE-NEW,3D-RISE,25,0.13085570658205464,0.952463312194496,4.172325382967316e-05,1.0,0.0,0.3962687427400977
EtriActivity3D,TANet,3D-RISE-NEW,3D-RISE,26,0.09696473479915382,0.8880113496117213,1.4664653164039367,1.0,0.0,0.088315902338662
EtriActivity3D,TANet,3D-RISE-NEW,3D-RISE,27,0.005299155225326318,0.2737035321734012,0.0,1.0,1.0,0.4969787290348271
EtriActivity3D,TANet,3D-RISE-NEW,3D-RISE,28,0.23423355611115945,0.8584499982786812,0.0,0.0,0.0,0.016349480968858132
EtriActivity3D,TANet,3D-RISE-NEW,3D-RISE,29,0.11176953736567119,0.8749299015643295,0.0,0.0,0.0,0.3313207746015018
EtriActivity3D,TANet,3D-Sampled-Occl-Sens-NEW,3D-Sampled-Occl-Sens,0,0.350948204714884,0.6010570803762644,94.23451287345415,1.0,0.0,0.16544521337946944
EtriActivity3D,TANet,3D-Sampled-Occl-Sens-NEW,3D-Sampled-Occl-Sens,1,0.07120226583822316,0.9830755461807534,86.02663470744972,1.0,0.0,0.14670376778162245
EtriActivity3D,TANet,3D-Sampled-Occl-Sens-NEW,3D-Sampled-Occl-Sens,2,0.02691492374646547,0.9303533157500524,19.49494267315282,1.0,0.0,0.04212475970780469
EtriActivity3D,TANet,3D-Sampled-Occl-Sens-NEW,3D-Sampled-Occl-Sens,3,0.012481415392995562,0.5823752977013704,36.33888685411631,1.0,0.0,0.07751345636293733
EtriActivity3D,TANet,3D-Sampled-Occl-Sens-NEW,3D-Sampled-Occl-Sens,4,0.01891456468046731,0.7948344279007282,0.4904866922067945,0.0,0.0,0.003217993079584775
EtriActivity3D,TANet,3D-Sampled-Occl-Sens-NEW,3D-Sampled-Occl-Sens,5,0.15606429599510105,0.31605086366029833,0.0,1.0,0.0,0.015132064590542098
EtriActivity3D,TANet,3D-Sampled-Occl-Sens-NEW,3D-Sampled-Occl-Sens,6,0.08680414013953727,0.6669060557867537,35.83280482739688,0.0,0.0,0.03642695117262591
EtriActivity3D,TANet,3D-Sampled-Occl-Sens-NEW,3D-Sampled-Occl-Sens,7,0.43549218679101465,0.6346911872335382,99.97477325285254,0.0,0.0,0.035644815183397946
EtriActivity3D,TANet,3D-Sampled-Occl-Sens-NEW,3D-Sampled-Occl-Sens,8,0.4108411387772451,0.645036514320195,84.8472535610199,0.0,0.0,0.047299371527124295
EtriActivity3D,TANet,3D-Sampled-Occl-Sens-NEW,3D-Sampled-Occl-Sens,9,0.15890090359678533,0.8029765255304253,60.12245390930938,1.0,0.0,0.08671434063821606
EtriActivity3D,TANet,3D-Sampled-Occl-Sens-NEW,3D-Sampled-Occl-Sens,10,0.5200266292744011,0.9301142902693074,7.928565571265206,1.0,0.0,0.14093060361399462
EtriActivity3D,TANet,3D-Sampled-Occl-Sens-NEW,3D-Sampled-Occl-Sens,11,0.4092552428986785,0.517520483697379,98.45527106875075,1.0,0.0,0.17526720492118417
EtriActivity3D,TANet,3D-Sampled-Occl-Sens-NEW,3D-Sampled-Occl-Sens,12,0.36125167686240367,0.49598370510605677,99.99276995658875,0.0,0.0,0.11208217632419196
EtriActivity3D,TANet,3D-Sampled-Occl-Sens-NEW,3D-Sampled-Occl-Sens,13,0.5371492772623345,0.8849663217866504,99.73003268241882,0.0,0.0,0.14917422064676794
EtriActivity3D,TANet,3D-Sampled-Occl-Sens-NEW,3D-Sampled-Occl-Sens,14,0.30886129412969404,0.4838427081751407,94.79300913727393,1.0,0.0,0.08143137254901961
EtriActivity3D,TANet,3D-Sampled-Occl-Sens-NEW,3D-Sampled-Occl-Sens,15,0.6807173159686338,0.6755885035841813,0.0,1.0,0.0,0.0885483616917468
EtriActivity3D,TANet,3D-Sampled-Occl-Sens-NEW,3D-Sampled-Occl-Sens,16,0.06074152943315649,0.8674187004778852,8.63661257638873,1.0,0.0,0.06396693579392541
EtriActivity3D,TANet,3D-Sampled-Occl-Sens-NEW,3D-Sampled-Occl-Sens,17,0.6596886913781118,0.16039506194550313,9.021081464832209,1.0,0.0,0.23805997693194925
EtriActivity3D,TANet,3D-Sampled-Occl-Sens-NEW,3D-Sampled-Occl-Sens,18,0.32404501527534607,0.19909809621820446,0.0,1.0,0.0,0.159720492118416
EtriActivity3D,TANet,3D-Sampled-Occl-Sens-NEW,3D-Sampled-Occl-Sens,19,0.46231402611667816,0.9364524093005353,87.92465793313245,0.0,0.0,0.1703844675124952
EtriActivity3D,TANet,3D-Sampled-Occl-Sens-NEW,3D-Sampled-Occl-Sens,20,0.07637730454427576,0.8753467248372999,90.36735261872346,1.0,0.0,0.11880026912725875
EtriActivity3D,TANet,3D-Sampled-Occl-Sens-NEW,3D-Sampled-Occl-Sens,21,0.25488013218177097,0.8961748166506301,87.57437154147371,1.0,0.0,0.096537624985132
EtriActivity3D,TANet,3D-Sampled-Occl-Sens-NEW,3D-Sampled-Occl-Sens,22,0.47759987008016686,0.01548345059285754,0.0,0.0,0.0,0.16482622068435218
EtriActivity3D,TANet,3D-Sampled-Occl-Sens-NEW,3D-Sampled-Occl-Sens,23,0.4244856775167046,0.568381486033472,99.99788957782316,0.0,0.0,0.20914071510957324
EtriActivity3D,TANet,3D-Sampled-Occl-Sens-NEW,3D-Sampled-Occl-Sens,24,0.6676684093710292,0.8944701578443506,3.1928927095209008,1.0,0.0,0.25955786236063055
EtriActivity3D,TANet,3D-Sampled-Occl-Sens-NEW,3D-Sampled-Occl-Sens,25,0.1949564719035244,0.8698563673781252,0.004547834667434375,1.0,0.0,0.25371011149557865
EtriActivity3D,TANet,3D-Sampled-Occl-Sens-NEW,3D-Sampled-Occl-Sens,26,0.2821895946162246,0.5617348179871818,99.58428144689655,0.0,0.0,0.027871011149557864
EtriActivity3D,TANet,3D-Sampled-Occl-Sens-NEW,3D-Sampled-Occl-Sens,27,0.02948287529253109,0.6741106863571126,0.0,1.0,0.0,0.2738760092272203
EtriActivity3D,TANet,3D-Sampled-Occl-Sens-NEW,3D-Sampled-Occl-Sens,28,0.505030239341018,0.49560548691855333,99.90856051445007,0.0,0.0,0.12051734273956496
EtriActivity3D,TANet,3D-Sampled-Occl-Sens-NEW,3D-Sampled-Occl-Sens,29,0.25491286600381813,0.6500387218850389,99.57968383032038,1.0,0.0,0.14693329488658208
EtriActivity3D,TANet,LV-LOCO-NEW,LV-LOCO,0,0.030083163209017983,0.9001030613429987,93.37933833855074,1.0,0.0,0.10774116187143146
EtriActivity3D,TANet,LV-LOCO-NEW,LV-LOCO,1,0.08129001057394199,0.9950578989596423,59.32285991835784,1.0,0.0,0.0896545986782927
EtriActivity3D,TANet,LV-LOCO-NEW,LV-LOCO,2,0.043492266640733766,0.6954344696942827,61.89320204920132,1.0,1.0,0.6234729764996831
EtriActivity3D,TANet,LV-LOCO-NEW,LV-LOCO,3,0.02513425953723713,0.7127835240129142,44.66579649908913,0.0,0.0,0.46578778543893007
EtriActivity3D,TANet,LV-LOCO-NEW,LV-LOCO,4,0.19065158245689384,0.8949970149772634,97.72648532132088,0.0,0.0,0.038006945798225285
EtriActivity3D,TANet,LV-LOCO-NEW,LV-LOCO,5,0.16226636640077352,0.7820798243800011,48.706870203897545,0.0,0.0,0.08586411911396373
EtriActivity3D,TANet,LV-LOCO-NEW,LV-LOCO,6,0.04628496275645391,0.8160500845770703,81.3615832036629,1.0,0.0,0.23910402445533102
